Nom;Section;operations;Poids;Montant
1-VIANDE TAJINE;"1-VIANDE ROUGE  
";6;5,49;603,9
2-VIANDE HACHEE NATURE  ;"1-VIANDE ROUGE  
";CODE_COMM;--> AHMED;
48634;26/07/2024;4754;SANDWICH MIX;
48634;26/07/2024;70240;FRITE;
48635;26/07/2024;4;VIANDE HACHEE;
48635;26/07/2024;19;COTLETTE AGN;
48635;26/07/2024;12;BROCHETTE DE BF;
48635;26/07/2024;3;SAUCISSE BF;
48635;26/07/2024;41;ROGNON BF/AGN;
48635;26/07/2024;175;COUT GRILLADE;
48635;26/07/2024;70238;TAGINE CERVEILLE;
48635;26/07/2024;CODE_COMM;--> GR N° 7;
48635;26/07/2024;3355;ZAALOK;
48635;26/07/2024;2430;SALADE;
48636;26/07/2024;175;COUT GRILLADE;
48636;26/07/2024;3;SAUCISSE BF;
48636;26/07/2024;4;VIANDE HACHEE;
48636;26/07/2024;CODE_COMM;--> GR N° 4;
48636;26/07/2024;70240;FRITE;
48637;26/07/2024;3589;TACOS SAUCISSE;
48637;26/07/2024;2376;--> TACOS;
48637;26/07/2024;4360;--> ALGERIENNE;
48637;26/07/2024;3589;TACOS SAUCISSE;
48637;26/07/2024;2376;--> TACOS;
48637;26/07/2024;10000;--> BIGGY;
48637;26/07/2024;70240;FRITE;
48638;26/07/2024;605;PILON PLT MARINEE;
48638;26/07/2024;4;VIANDE HACHEE;
48638;26/07/2024;175;COUT GRILLADE;
48638;26/07/2024;CODE_COMM;--> GR N° 14;
48638;26/07/2024;5648;SODA 25CL/EAU GAZEUSSE;
48638;26/07/2024;5648;SODA 25CL/EAU GAZEUSSE;
48639;26/07/2024;4;VIANDE HACHEE;
48640;26/07/2024;801;TIHANE VARIE;
48640;26/07/2024;3;SAUCISSE BF;
48641;26/07/2024;5617;TACOS POULET;
48641;26/07/2024;2376;--> TACOS;
48641;26/07/2024;5485;--> SHEEZY;
48642;26/07/2024;4;VIANDE HACHEE;
48643;26/07/2024;618;STEAK BROCHETTE FILET  MARINE;
48643;26/07/2024;15;EPAULE DE BF;
48644;26/07/2024;175;COUT GRILLADE;
48644;26/07/2024;3;SAUCISSE BF;
48644;26/07/2024;70238;TAGINE CERVEILLE;
48644;26/07/2024;CODE_COMM;--> GR N° 5;
48644;26/07/2024;70240;FRITE;
48645;26/07/2024;5617;TACOS POULET;
48645;26/07/2024;2376;--> TACOS;
48645;26/07/2024;4360;--> ALGERIENNE;
48646;26/07/2024;19;COTLETTE AGN;
48646;26/07/2024;4;VIANDE HACHEE;
48647;26/07/2024;6;JARRET;
48647;26/07/2024;618;STEAK BROCHETTE FILET  MARINE;
48648;26/07/2024;4754;SANDWICH MIX;
48648;26/07/2024;70240;FRITE;
48648;26/07/2024;8857;THE;
48649;26/07/2024;5617;TACOS POULET;
48649;26/07/2024;2376;--> TACOS;
48649;26/07/2024;4360;--> ALGERIENNE;
48650;26/07/2024;7;RUMSTEAK;
48650;26/07/2024;14;FAUX FILET;
48651;26/07/2024;5617;TACOS POULET;
48651;26/07/2024;2376;--> TACOS;
48651;26/07/2024;10000;--> BIGGY;
48652;26/07/2024;5617;TACOS POULET;
48652;26/07/2024;2376;--> TACOS;
48652;26/07/2024;10000;--> BIGGY;
48653;26/07/2024;3;SAUCISSE BF;
48653;26/07/2024;4;VIANDE HACHEE;
48654;26/07/2024;6316;SAND SAUCISSE;
48654;26/07/2024;4762;SANDWICH MIX;
48654;26/07/2024;6823;TACOS MIX;
48654;26/07/2024;2376;--> TACOS;
48654;26/07/2024;5485;--> SHEEZY;
48654;26/07/2024;1937;FRITE;
48654;26/07/2024;CODE_COMM;--> glo;
48655;26/07/2024;4;VIANDE HACHEE;
48656;26/07/2024;5617;TACOS POULET;
48656;26/07/2024;2376;--> TACOS;
48656;26/07/2024;10000;--> BIGGY;
